date,type,category,description,amount,memo
2020-01-01,지출,문화/여가,OTT 구독,-64372,
2020-01-01,수입,급여,이자 수입,3212756,메모_2633
2020-01-01,지출,교육,자격증 시험,-481603,현금
2020-01-02,수입,급여,이자 수입,3657363,
2020-01-02,수입,급여,프리랜서 수입,2547026,
2020-01-02,지출,쇼핑,신발 구입,-391134,
2020-01-03,지출,문화/여가,게임 아이템,-94435,
2020-01-03,지출,쇼핑,가전제품,-387594,현금
2020-01-03,수입,기타수입,용돈,306977,
2020-01-05,지출,여행,여행 경비,-548269,
2020-01-06,지출,문화/여가,게임 아이템,-19216,
2020-01-07,지출,저축/투자,적금 납입,-611620,메모_1438
2020-01-08,수입,기타수입,용돈,456041,
2020-01-08,수입,급여,프리랜서 수입,2519549,메모_2281
2020-01-09,지출,저축/투자,적금 납입,-768718,현금
2020-01-09,지출,쇼핑,가전제품,-158371,현금
2020-01-10,지출,교통,주유비,-73231,카드결제
2020-01-11,지출,식비,편의점,-35053,메모_320
2020-01-11,지출,식비,편의점,-21513,카드결제
2020-01-12,지출,식비,일식당,-48145,
2020-01-12,지출,주거,관리비,-244454,카드결제
2020-01-12,지출,식비,분식집,-21070,
2020-01-13,지출,문화/여가,공연 티켓,-13048,
2020-01-13,수입,기타수입,용돈,475191,
2020-01-14,지출,교육,교재 구입,-177091,
2020-01-14,지출,저축/투자,주식 매수,-855430,
2020-01-14,지출,의료,치과,-136297,현금
2020-01-15,지출,통신,케이블TV,-63178,카드결제
2020-01-15,지출,문화/여가,OTT 구독,-71277,
2020-01-15,수입,기타수입,용돈,457536,
2020-01-16,수입,급여,월급,4384620,
2020-01-17,지출,여행,항공권,-1493844,현금
2020-01-18,지출,식비,분식집,-75512,카드결제
2020-01-18,수입,급여,이자 수입,3397645,
2020-01-18,지출,의료,병원 진료,-183098,메모_4159
2020-01-19,수입,기타수입,중고 판매,438964,
2020-01-20,지출,식비,분식집,-11314,
2020-01-21,지출,식비,저녁외식,-9540,
2020-01-21,지출,쇼핑,가전제품,-62383,카드결제
2020-01-22,수입,기타수입,환급금,198700,
2020-01-23,지출,의료,한의원,-47282,
2020-01-24,지출,식비,배달음식,-62388,현금
2020-01-25,지출,저축/투자,주식 매수,-116309,카드결제
2020-01-25,지출,통신,인터넷 요금,-100051,
2020-01-25,수입,급여,보너스,4864169,
2020-01-26,수입,급여,프리랜서 수입,3154072,
2020-01-26,지출,여행,항공권,-131486,메모_3142
2020-01-26,지출,여행,항공권,-1196069,현금
2020-01-26,지출,쇼핑,온라인쇼핑,-268341,카드결제
2020-01-27,수입,급여,프리랜서 수입,3477263,현금
2020-01-27,지출,여행,숙박비,-1086723,
2020-01-27,지출,여행,숙박비,-451711,
2020-01-28,지출,의료,치과,-122109,
2020-01-28,지출,문화/여가,도서 구입,-62658,
2020-01-28,지출,교통,지하철,-95317,카드결제
2020-01-30,지출,의료,한의원,-112934,메모_663
2020-01-30,지출,교통,KTX,-75878,현금
2020-01-30,지출,여행,항공권,-823644,현금
2020-01-30,수입,급여,보너스,3954666,
2020-02-01,지출,식비,카페,-72865,현금
2020-02-02,지출,통신,인터넷 요금,-56991,
2020-02-02,지출,저축/투자,적금 납입,-444483,현금
2020-02-02,지출,의료,치과,-171514,메모_3603
2020-02-02,지출,문화/여가,영화관,-29534,
2020-02-03,수입,기타수입,환급금,80220,현금
2020-02-03,지출,저축/투자,펀드 투자,-387883,
2020-02-03,지출,저축/투자,적금 납입,-348851,
2020-02-04,수입,급여,월급,4224902,카드결제
2020-02-06,수입,기타수입,용돈,370923,
2020-02-06,수입,기타수입,용돈,274145,현금
2020-02-06,지출,쇼핑,화장품,-167392,
2020-02-07,지출,교육,온라인 강의,-381272,
2020-02-07,지출,문화/여가,게임 아이템,-36508,
2020-02-08,지출,문화/여가,음악 스트리밍,-48278,카드결제
2020-02-09,수입,급여,프리랜서 수입,4078211,
2020-02-09,수입,급여,프리랜서 수입,3878503,메모_470
2020-02-09,지출,교육,자격증 시험,-51055,
2020-02-09,지출,교통,고속도로 통행료,-117535,현금
2020-02-10,지출,여행,항공권,-245922,
2020-02-11,수입,급여,프리랜서 수입,2991602,
2020-02-11,지출,여행,항공권,-1291284,
2020-02-11,지출,교통,고속도로 통행료,-149623,
2020-02-12,지출,저축/투자,주식 매수,-954624,
2020-02-13,지출,의료,한의원,-138870,카드결제
2020-02-13,지출,저축/투자,적금 납입,-767395,카드결제
2020-02-13,지출,교육,학원비,-498901,
2020-02-13,지출,식비,분식집,-42676,
2020-02-14,지출,여행,여행 경비,-752551,
2020-02-14,수입,기타수입,중고 판매,315818,
2020-02-14,지출,통신,인터넷 요금,-90263,현금
2020-02-15,지출,문화/여가,스포츠센터,-62757,
2020-02-15,지출,통신,인터넷 요금,-44818,메모_3186
2020-02-16,지출,의료,병원 진료,-186711,
2020-02-16,수입,급여,보너스,4902743,
2020-02-16,지출,저축/투자,주식 매수,-786274,메모_3958
2020-02-17,지출,교육,온라인 강의,-410607,현금
2020-02-17,지출,식비,마트,-6977,
2020-02-18,지출,주거,관리비,-231321,
2020-02-19,지출,쇼핑,가전제품,-171525,카드결제
2020-02-19,수입,급여,프리랜서 수입,3349472,현금
2020-02-19,지출,주거,가스비,-196598,
2020-02-20,지출,여행,여행 경비,-1309320,카드결제
2020-02-20,지출,저축/투자,펀드 투자,-742874,
2020-02-20,지출,식비,한식당,-66343,메모_2256
2020-02-20,지출,교육,자격증 시험,-276689,
2020-02-20,지출,쇼핑,화장품,-92548,현금
2020-02-21,지출,식비,일식당,-11817,메모_3160
2020-02-21,지출,교통,버스,-93016,카드결제
2020-02-21,지출,여행,여행 경비,-1342585,
2020-02-22,수입,기타수입,환급금,267663,메모_1392
2020-02-22,지출,문화/여가,도서 구입,-108929,
2020-02-23,지출,주거,인터넷 설치,-254643,
2020-02-23,지출,주거,수도세,-288868,
2020-02-24,지출,저축/투자,적금 납입,-845807,
2020-02-24,지출,쇼핑,생활용품,-373478,메모_4622
2020-02-25,지출,식비,점심식사,-20324,
2020-02-25,지출,교육,학원비,-255065,
2020-02-25,수입,급여,이자 수입,3591477,
2020-02-26,지출,식비,분식집,-10925,카드결제
2020-02-26,지출,쇼핑,가전제품,-118178,
2020-02-27,지출,의료,약국,-78887,카드결제
2020-02-27,지출,주거,가스비,-267873,
2020-02-27,지출,교통,KTX,-24669,메모_3287
2020-02-27,수입,급여,월급,3475377,카드결제
2020-02-28,지출,교육,교재 구입,-283593,현금
2020-02-29,지출,여행,여행 경비,-309459,
2020-03-01,지출,여행,항공권,-1368508,
2020-03-01,지출,저축/투자,적금 납입,-659594,카드결제
2020-03-02,지출,통신,휴대폰 요금,-91714,메모_1622
2020-03-02,지출,의료,안과,-29149,
2020-03-02,지출,여행,숙박비,-868263,메모_3830
2020-03-04,지출,의료,약국,-17281,
2020-03-05,지출,교육,온라인 강의,-507949,
2020-03-06,수입,급여,보너스,4626493,
2020-03-06,지출,쇼핑,옷 구입,-429313,
2020-03-07,지출,교통,버스,-91887,현금
2020-03-07,지출,통신,인터넷 요금,-20860,
2020-03-07,지출,쇼핑,온라인쇼핑,-293346,
2020-03-07,지출,교육,자격증 시험,-582765,
2020-03-07,수입,기타수입,용돈,443622,
2020-03-08,수입,기타수입,환급금,142602,메모_2593
2020-03-09,지출,쇼핑,온라인쇼핑,-480672,
2020-03-09,지출,문화/여가,게임 아이템,-27199,현금
2020-03-09,지출,교통,고속도로 통행료,-68700,카드결제
2020-03-10,지출,의료,치과,-184243,
2020-03-10,지출,통신,인터넷 요금,-117243,메모_3727
2020-03-11,지출,주거,관리비,-123987,
2020-03-11,수입,급여,프리랜서 수입,4038165,현금
